School District,Category,Pre-K Applicants,Pre-K Offers,Kindergarten Applicants,Kindergarten Offers,Grade 6 Applicants,Grade 6 Offers,Grade 9 Applicants,Grade 9 Offers
1,Zip Code 11106,s,s,s,s,8,s,50,s
1,Zip Code 11109,s,s,s,s,s,s,8,s
1,Zip Code 11201,15,s,8,s,78,7,145,23
1,Zip Code 11203,s,s,s,s,24,s,62,s
1,Zip Code 11204,s,s,s,s,s,s,45,s
1,Zip Code 11205,s,s,9,s,39,s,78,15
1,Zip Code 11206,6,s,s,s,27,s,112,9
1,Zip Code 11207,10,s,s,s,24,6,117,11
1,Zip Code 11208,s,s,s,s,38,s,199,11
1,Zip Code 11209,s,s,s,s,21,s,56,7
1,Zip Code 11210,s,s,s,s,12,s,26,s
1,Zip Code 11211,8,s,14,s,24,6,66,9
1,Zip Code 11212,s,s,s,s,18,s,100,s
1,Zip Code 11213,s,s,s,s,18,s,57,s
1,Zip Code 11214,s,s,s,s,14,s,90,12
1,Zip Code 11215,s,s,s,s,163,7,261,45
1,Zip Code 11216,s,s,s,s,30,s,67,s
1,Zip Code 11217,s,s,s,s,47,7,83,16
1,Zip Code 11218,s,s,6,s,57,s,183,14
1,Zip Code 11219,s,s,s,s,s,s,56,6
1,Zip Code 11220,s,s,s,s,22,s,161,23
1,Zip Code 11221,8,s,7,s,30,7,114,s
1,Zip Code 11222,14,s,9,s,34,s,65,10
1,Zip Code 11223,s,s,s,s,15,s,42,7
1,Zip Code 11224,s,s,s,s,9,s,25,s
1,Zip Code 11225,7,s,6,s,16,s,52,7
1,Zip Code 11226,s,s,13,s^,39,s,91,9
1,Zip Code 11228,s,s,s,s,7,s,45,s
1,Zip Code 11229,s,s,s,s,13,s,55,7
1,Zip Code 11230,s,s,s,s,10,s,53,6
1,Zip Code 11231,s,s,s,s,96,s,146,28
1,Zip Code 11232,s,s,s,s,11,s,65,7
1,Zip Code 11233,s,s,8,s^,38,s,102,11
1,Zip Code 11234,s,s,s,s,24,s,67,s
1,Zip Code 11235,s,s,s,s,28,s,69,9
1,Zip Code 11236,s,s,s,s,24,s,99,s
1,Zip Code 11237,10,s,7,s^,13,s,73,s
1,Zip Code 11238,6,s,8,s,83,s,111,13
1,Zip Code 11239,s,s,s,s,s,s,23,s
1,Zip Code 11249,6,s,24,s,21,s,43,8
1,Zip Code 11354,s,s,s,s,s,s,29,s
1,Zip Code 11355,s,s,s,s,16,s,34,s
1,Zip Code 11356,s,s,s,s,s,s,13,s
1,Zip Code 11357,s,s,s,s,s,s,16,s
1,Zip Code 11358,s,s,s,s,10,s,20,s
1,Zip Code 11360,s,s,s,s,s,s,6,s
1,Zip Code 11361,s,s,s,s,s,s,10,s
1,Zip Code 11362,s,s,s,s,s,s,16,s
1,Zip Code 11363,s,s,s,s,s,s,6,s
1,Zip Code 11364,s,s,s,s,9,s,18,s
1,Zip Code 11365,s,s,s,s,s,s,22,s
1,Zip Code 11366,s,s,s,s,s,s,7,s
1,Zip Code 11367,s,s,s,s,s,s,12,s
1,Zip Code 11368,s,s,s,s,23,s,94,9
1,Zip Code 11369,s,s,s,s,s,s,40,s
1,Zip Code 11370,s,s,s,s,7,s,32,s
1,Zip Code 11372,s,s,s,s,13,s,125,11
1,Zip Code 11373,s,s,s,s,43,s,188,12
1,Zip Code 11374,s,s,s,s,19,s,42,6
